Age,Profession,Marrital Status,Education,No of Dependents,Personal loan,Total Salary,Price
27,Salaried,Single,Post Graduate,0,Yes,800000,800000
35,Salaried,Married,Post Graduate,2,Yes,2000000,1000000
45,Business,Married,Graduate,4,Yes,1800000,1200000
41,Business,Married,Post Graduate,3,No,2200000,1200000
31,Salaried,Married,Post Graduate,2,Yes,2600000,1600000
28,Salaried,Married,Graduate,3,Yes,900000,700000
31,Salaried,Married,Graduate,4,No,1800000,1200000
33,Business,Married,Post Graduate,4,No,1400000,700000
34,Business,Married,Post Graduate,4,No,2000000,1100000
34,Salaried,Married,Graduate,3,Yes,1900000,800000
35,Salaried,Married,Post Graduate,4,No,2000000,1600000
35,Salaried,Married,Graduate,4,Yes,1400000,700000
29,Salaried,Married,Post Graduate,0,No,1700000,110000
30,Business,Single,Post Graduate,2,Yes,1400000,800000
31,Business,Married,Graduate,3,Yes,1300000,700000
49,Salaried,Married,Post Graduate,4,No,4500000,3000000
26,Salaried,Single,Post Graduate,0,No,800000,800000
27,Salaried,Single,Graduate,0,Yes,800000,700000
29,Salaried,Single,Post Graduate,2,No,900000,1200000
30,Salaried,Married,Graduate,0,No,1300000,700000
37,Salaried,Married,Post Graduate,3,No,2500000,1200000
35,Business,Married,Graduate,3,No,1900000,800000
36,Business,Married,Graduate,3,No,2400000,1600000
35,Business,Married,Post Graduate,4,No,1400000,700000
35,Salaried,Married,Graduate,3,Yes,2000000,1100000
35,Salaried,Married,Graduate,2,No,2900000,1600000
35,Salaried,Married,Post Graduate,4,Yes,1300000,700000
36,Business,Married,Graduate,3,No,1600000,800000
36,Salaried,Married,Post Graduate,3,Yes,2600000,1200000
36,Salaried,Married,Post Graduate,2,No,2700000,1600000
41,Business,Married,Graduate,3,No,1100000,700000
41,Salaried,Married,Graduate,3,No,2100000,1300000
41,Salaried,Married,Post Graduate,4,No,3000000,1500000
43,Business,Married,Graduate,3,No,2200000,1500000
42,Salaried,Married,Graduate,4,Yes,2100000,1100000
42,Salaried,Married,Post Graduate,3,No,3700000,1600000
29,Business,Married,Post Graduate,0,No,1600000,1200000
30,Salaried,Married,Post Graduate,0,No,2100000,1500000
30,Business,Single,Post Graduate,0,No,1400000,1600000
31,Salaried,Married,Graduate,0,No,2200000,1100000
31,Business,Married,Post Graduate,3,Yes,1700000,800000
32,Business,Married,Post Graduate,0,No,1400000,1100000
32,Salaried,Married,Graduate,0,No,2400000,1600000
34,Salaried,Married,Post Graduate,3,No,2300000,1300000
34,Salaried,Married,Post Graduate,2,Yes,1600000,800000
34,Salaried,Married,Graduate,3,No,3600000,1500000
36,Business,Married,Graduate,4,No,200000,1100000
36,Business,Married,Graduate,2,No,2600000,1300000
36,Salaried,Married,Post Graduate,2,No,1600000,800000
36,Salaried,Married,Graduate,3,Yes,3100000,1500000
49,Business,Married,Post Graduate,4,No,2000000,1300000
49,Salaried,Married,Post Graduate,3,No,4300000,1600000
44,Salaried,Married,Post Graduate,4,No,2700000,1600000
44,Business,Married,Post Graduate,3,No,3800000,1500000
41,Salaried,Married,Graduate,2,No,4700000,3000000
41,Salaried,Married,Post Graduate,3,Yes,3100000,1500000
41,Salaried,Married,Graduate,3,No,2600000,1100000
27,Salaried,Single,Post Graduate,0,No,1100000,700000
27,Business,Single,Graduate,0,No,1200000,1100000
28,Salaried,Single,Graduate,0,Yes,900000,700000
28,Salaried,Single,Post Graduate,0,No,1400000,1200000
30,Salaried,Single,Post Graduate,0,No,1500000,1500000
31,Business,Single,Graduate,0,No,2000000,1500000
31,Salaried,Married,Post Graduate,3,Yes,1800000,700000
31,Salaried,Married,Graduate,2,No,2100000,1100000
39,Business,Married,Post Graduate,3,No,1600000,700000
39,Business,Married,Graduate,2,Yes,3600000,1500000
39,Salaried,Married,Post Graduate,2,No,1900000,1200000
39,Salaried,Married,Post Graduate,2,Yes,4000000,1500000
37,Business,Married,Graduate,3,No,1700000,1200000
37,Business,Married,Post Graduate,2,No,2700000,1500000
37,Salaried,Married,Post Graduate,2,No,3200000,1600000
37,Salaried,Married,Graduate,2,No,1300000,700000
35,Salaried,Married,Post Graduate,0,No,2500000,1600000
36,Business,Married,Graduate,0,No,2000000,1200000
36,Salaried,Married,Post Graduate,2,No,3600000,1500000
36,Business,Married,Post Graduate,2,Yes,1900000,800000
36,Business,Married,Graduate,3,No,2900000,1600000
44,Salaried,Married,Post Graduate,3,No,3100000,1500000
45,Salaried,Married,Post Graduate,2,No,4500000,1600000
46,Salaried,Married,Graduate,3,Yes,2100000,800000
44,Business,Married,Graduate,2,No,5200000,1600000
43,Salaried,Married,Post Graduate,3,Yes,2400000,1100000
42,Salaried,Married,Post Graduate,2,No,2900000,1300000
42,Salaried,Married,Graduate,3,Yes,2700000,800000
42,Business,Married,Post Graduate,3,Yes,1800000,700000
29,Business,Single,Graduate,0,Yes,1100000,700000
33,Salaried,Married,Post Graduate,2,No,2200000,1200000
34,Salaried,Married,Graduate,2,No,4100000,1500000
34,Business,Married,Post Graduate,3,Yes,1900000,700000
35,Salaried,Married,Graduate,2,No,1400000,800000
36,Salaried,Married,Post Graduate,3,Yes,4900000,1600000
37,Salaried,Married,Graduate,2,No,2800000,1200000
27,Salaried,Single,Post Graduate,0,No,900000,700000
27,Business,Single,Graduate,0,No,2400000,1600000
50,Salaried,Married,Post Graduate,3,No,5100000,1600000
51,Business,Married,Graduate,2,Yes,2200000,1100000
51,Salaried,Married,Post Graduate,2,No,4000000,1500000
51,Salaried,Married,Post Graduate,2,Yes,2200000,1100000
